dataset_id,source_system,source_object,connection_ref,target_object,capture_strategy,apply_strategy,primary_key,watermark_column,event_time_column,tracked_columns,delete_policy,execution_group,criticality
health.reference_041,health_sql,dbo.Reference041,health_sql_readonly,reference_041,FULL,REPLACE,reference_041_id,,,,APPLY,health_full_refresh,MEDIUM
health.reference_042,health_sql,dbo.Reference042,health_sql_readonly,reference_042,FULL,REPLACE,reference_042_id,,,,APPLY,health_full_refresh,MEDIUM
health.reference_043,health_sql,dbo.Reference043,health_sql_readonly,reference_043,FULL,REPLACE,reference_043_id,,,,APPLY,health_full_refresh,MEDIUM
health.reference_044,health_sql,dbo.Reference044,health_sql_readonly,reference_044,FULL,REPLACE,reference_044_id,,,,APPLY,health_full_refresh,MEDIUM
health.reference_045,health_sql,dbo.Reference045,health_sql_readonly,reference_045,FULL,REPLACE,reference_045_id,,,,APPLY,health_full_refresh,MEDIUM
health.reference_046,health_sql,dbo.Reference046,health_sql_readonly,reference_046,FULL,REPLACE,reference_046_id,,,,APPLY,health_full_refresh,MEDIUM
health.reference_047,health_sql,dbo.Reference047,health_sql_readonly,reference_047,FULL,REPLACE,reference_047_id,,,,APPLY,health_full_refresh,MEDIUM
health.reference_048,health_sql,dbo.Reference048,health_sql_readonly,reference_048,FULL,REPLACE,reference_048_id,,,,APPLY,health_full_refresh,MEDIUM
health.reference_049,health_sql,dbo.Reference049,health_sql_readonly,reference_049,FULL,REPLACE,reference_049_id,,,,APPLY,health_full_refresh,MEDIUM
health.reference_050,health_sql,dbo.Reference050,health_sql_readonly,reference_050,FULL,REPLACE,reference_050_id,,,,APPLY,health_full_refresh,MEDIUM
health.history_001,health_sql,dbo.History001,health_sql_readonly,history_001,WATERMARK,SCD2,history_001_id,modified_at,modified_at,name|status|category,IGNORE,health_scd2,HIGH
health.history_002,health_sql,dbo.History002,health_sql_readonly,history_002,WATERMARK,SCD2,history_002_id,modified_at,modified_at,name|status|category,IGNORE,health_scd2,HIGH
health.history_003,health_sql,dbo.History003,health_sql_readonly,history_003,WATERMARK,SCD2,history_003_id,modified_at,modified_at,name|status|category,IGNORE,health_scd2,HIGH
health.history_004,health_sql,dbo.History004,health_sql_readonly,history_004,WATERMARK,SCD2,history_004_id,modified_at,modified_at,name|status|category,IGNORE,health_scd2,HIGH
health.history_005,health_sql,dbo.History005,health_sql_readonly,history_005,WATERMARK,SCD2,history_005_id,modified_at,modified_at,name|status|category,IGNORE,health_scd2,HIGH
health.history_006,health_sql,dbo.History006,health_sql_readonly,history_006,WATERMARK,SCD2,history_006_id,modified_at,modified_at,name|status|category,IGNORE,health_scd2,HIGH
health.history_007,health_sql,dbo.History007,health_sql_readonly,history_007,WATERMARK,SCD2,history_007_id,modified_at,modified_at,name|status|category,IGNORE,health_scd2,HIGH
health.history_008,health_sql,dbo.History008,health_sql_readonly,history_008,WATERMARK,SCD2,history_008_id,modified_at,modified_at,name|status|category,IGNORE,health_scd2,HIGH
health.history_009,health_sql,dbo.History009,health_sql_readonly,history_009,WATERMARK,SCD2,history_009_id,modified_at,modified_at,name|status|category,IGNORE,health_scd2,HIGH
health.history_010,health_sql,dbo.History010,health_sql_readonly,history_010,WATERMARK,SCD2,history_010_id,modified_at,modified_at,name|status|category,IGNORE,health_scd2,HIGH
health.history_011,health_sql,dbo.History011,health_sql_readonly,history_011,WATERMARK,SCD2,history_011_id,modified_at,modified_at,name|status|category,IGNORE,health_scd2,HIGH
health.history_012,health_sql,dbo.History012,health_sql_readonly,history_012,WATERMARK,SCD2,history_012_id,modified_at,modified_at,name|status|category,IGNORE,health_scd2,HIGH
health.history_013,health_sql,dbo.History013,health_sql_readonly,history_013,WATERMARK,SCD2,history_013_id,modified_at,modified_at,name|status|category,IGNORE,health_scd2,HIGH
health.history_014,health_sql,dbo.History014,health_sql_readonly,history_014,WATERMARK,SCD2,history_014_id,modified_at,modified_at,name|status|category,IGNORE,health_scd2,HIGH
health.history_015,health_sql,dbo.History015,health_sql_readonly,history_015,WATERMARK,SCD2,history_015_id,modified_at,modified_at,name|status|category,IGNORE,health_scd2,HIGH
health.history_016,health_sql,dbo.History016,health_sql_readonly,history_016,WATERMARK,SCD2,history_016_id,modified_at,modified_at,name|status|category,IGNORE,health_scd2,HIGH
health.history_017,health_sql,dbo.History017,health_sql_readonly,history_017,WATERMARK,SCD2,history_017_id,modified_at,modified_at,name|status|category,IGNORE,health_scd2,HIGH
health.history_018,health_sql,dbo.History018,health_sql_readonly,history_018,WATERMARK,SCD2,history_018_id,modified_at,modified_at,name|status|category,IGNORE,health_scd2,HIGH
health.history_019,health_sql,dbo.History019,health_sql_readonly,history_019,WATERMARK,SCD2,history_019_id,modified_at,modified_at,name|status|category,IGNORE,health_scd2,HIGH
health.history_020,health_sql,dbo.History020,health_sql_readonly,history_020,WATERMARK,SCD2,history_020_id,modified_at,modified_at,name|status|category,IGNORE,health_scd2,HIGH
health.current_001,health_sql,dbo.Current001,health_sql_readonly,current_001,WATERMARK,SCD1,current_001_id,modified_at,modified_at,name|status,IGNORE,health_scd1,MEDIUM
health.current_002,health_sql,dbo.Current002,health_sql_readonly,current_002,WATERMARK,SCD1,current_002_id,modified_at,modified_at,name|status,IGNORE,health_scd1,MEDIUM
health.current_003,health_sql,dbo.Current003,health_sql_readonly,current_003,WATERMARK,SCD1,current_003_id,modified_at,modified_at,name|status,IGNORE,health_scd1,MEDIUM
health.current_004,health_sql,dbo.Current004,health_sql_readonly,current_004,WATERMARK,SCD1,current_004_id,modified_at,modified_at,name|status,IGNORE,health_scd1,MEDIUM
health.current_005,health_sql,dbo.Current005,health_sql_readonly,current_005,WATERMARK,SCD1,current_005_id,modified_at,modified_at,name|status,IGNORE,health_scd1,MEDIUM
health.current_006,health_sql,dbo.Current006,health_sql_readonly,current_006,WATERMARK,SCD1,current_006_id,modified_at,modified_at,name|status,IGNORE,health_scd1,MEDIUM
health.current_007,health_sql,dbo.Current007,health_sql_readonly,current_007,WATERMARK,SCD1,current_007_id,modified_at,modified_at,name|status,IGNORE,health_scd1,MEDIUM
health.current_008,health_sql,dbo.Current008,health_sql_readonly,current_008,WATERMARK,SCD1,current_008_id,modified_at,modified_at,name|status,IGNORE,health_scd1,MEDIUM
health.current_009,health_sql,dbo.Current009,health_sql_readonly,current_009,WATERMARK,SCD1,current_009_id,modified_at,modified_at,name|status,IGNORE,health_scd1,MEDIUM
health.current_010,health_sql,dbo.Current010,health_sql_readonly,current_010,WATERMARK,SCD1,current_010_id,modified_at,modified_at,name|status,IGNORE,health_scd1,MEDIUM
health.current_011,health_sql,dbo.Current011,health_sql_readonly,current_011,WATERMARK,SCD1,current_011_id,modified_at,modified_at,name|status,IGNORE,health_scd1,MEDIUM
health.current_012,health_sql,dbo.Current012,health_sql_readonly,current_012,WATERMARK,SCD1,current_012_id,modified_at,modified_at,name|status,IGNORE,health_scd1,MEDIUM
health.current_013,health_sql,dbo.Current013,health_sql_readonly,current_013,WATERMARK,SCD1,current_013_id,modified_at,modified_at,name|status,IGNORE,health_scd1,MEDIUM
health.current_014,health_sql,dbo.Current014,health_sql_readonly,current_014,WATERMARK,SCD1,current_014_id,modified_at,modified_at,name|status,IGNORE,health_scd1,MEDIUM
health.current_015,health_sql,dbo.Current015,health_sql_readonly,current_015,WATERMARK,SCD1,current_015_id,modified_at,modified_at,name|status,IGNORE,health_scd1,MEDIUM
health.current_016,health_sql,dbo.Current016,health_sql_readonly,current_016,WATERMARK,SCD1,current_016_id,modified_at,modified_at,name|status,IGNORE,health_scd1,MEDIUM
health.current_017,health_sql,dbo.Current017,health_sql_readonly,current_017,WATERMARK,SCD1,current_017_id,modified_at,modified_at,name|status,IGNORE,health_scd1,MEDIUM
health.current_018,health_sql,dbo.Current018,health_sql_readonly,current_018,WATERMARK,SCD1,current_018_id,modified_at,modified_at,name|status,IGNORE,health_scd1,MEDIUM
health.current_019,health_sql,dbo.Current019,health_sql_readonly,current_019,WATERMARK,SCD1,current_019_id,modified_at,modified_at,name|status,IGNORE,health_scd1,MEDIUM
health.current_020,health_sql,dbo.Current020,health_sql_readonly,current_020,WATERMARK,SCD1,current_020_id,modified_at,modified_at,name|status,IGNORE,health_scd1,MEDIUM
health.cdc_001,debezium,health.cdc_001,health_debezium_kafka,cdc_001,CDC,UPSERT,cdc_001_id,,,,APPLY,health_debezium,HIGH
health.cdc_002,debezium,health.cdc_002,health_debezium_kafka,cdc_002,CDC,UPSERT,cdc_002_id,,,,APPLY,health_debezium,HIGH
health.cdc_003,debezium,health.cdc_003,health_debezium_kafka,cdc_003,CDC,UPSERT,cdc_003_id,,,,APPLY,health_debezium,HIGH
health.cdc_004,debezium,health.cdc_004,health_debezium_kafka,cdc_004,CDC,UPSERT,cdc_004_id,,,,APPLY,health_debezium,HIGH
health.cdc_005,debezium,health.cdc_005,health_debezium_kafka,cdc_005,CDC,UPSERT,cdc_005_id,,,,APPLY,health_debezium,HIGH
health.cdc_006,debezium,health.cdc_006,health_debezium_kafka,cdc_006,CDC,UPSERT,cdc_006_id,,,,APPLY,health_debezium,HIGH
health.cdc_007,debezium,health.cdc_007,health_debezium_kafka,cdc_007,CDC,UPSERT,cdc_007_id,,,,APPLY,health_debezium,HIGH
health.cdc_008,debezium,health.cdc_008,health_debezium_kafka,cdc_008,CDC,UPSERT,cdc_008_id,,,,APPLY,health_debezium,HIGH
health.cdc_009,debezium,health.cdc_009,health_debezium_kafka,cdc_009,CDC,UPSERT,cdc_009_id,,,,APPLY,health_debezium,HIGH
health.cdc_010,debezium,health.cdc_010,health_debezium_kafka,cdc_010,CDC,UPSERT,cdc_010_id,,,,APPLY,health_debezium,HIGH
